Jahr,Note,Bundesland,Anzahl
2006,1,BB,81
2006,1.1,BB,56
2006,1.2,BB,136
2006,1.3,BB,178
2006,1.4,BB,193
2006,1.5,BB,266
2006,1.6,BB,325
2006,1.7,BB,388
2006,1.8,BB,398
2006,1.9,BB,437
2006,2,BB,491
2006,2.1,BB,532
2006,2.2,BB,580
2006,2.3,BB,628
2006,2.4,BB,581
2006,2.5,BB,695
2006,2.6,BB,625
2006,2.7,BB,688
2006,2.8,BB,688
2006,2.9,BB,643
2006,3,BB,643
2006,3.1,BB,614
2006,3.2,BB,581
2006,3.3,BB,432
2006,3.4,BB,313
2006,3.5,BB,235
2006,3.6,BB,95
2006,3.7,BB,26
2006,3.8,BB,5
2006,3.9,BB,0
2006,4,BB,0
2006,1,BE,41
2006,1.1,BE,49
2006,1.2,BE,52
2006,1.3,BE,103
2006,1.4,BE,136
2006,1.5,BE,191
2006,1.6,BE,211
2006,1.7,BE,272
2006,1.8,BE,327
2006,1.9,BE,349
2006,2,BE,417
2006,2.1,BE,472
2006,2.2,BE,537
2006,2.3,BE,631
2006,2.4,BE,613
2006,2.5,BE,675
2006,2.6,BE,803
2006,2.7,BE,832
2006,2.8,BE,866
2006,2.9,BE,829
2006,3,BE,863
2006,3.1,BE,919
2006,3.2,BE,878
2006,3.3,BE,851
2006,3.4,BE,654
2006,3.5,BE,509
2006,3.6,BE,307
2006,3.7,BE,129
2006,3.8,BE,37
2006,3.9,BE,0
2006,4,BE,0
2006,1,BW,714
2006,1.1,BW,458
2006,1.2,BW,633
2006,1.3,BW,820
2006,1.4,BW,844
2006,1.5,BW,1013
2006,1.6,BW,1268
2006,1.7,BW,1402
2006,1.8,BW,1616
2006,1.9,BW,1578
2006,2,BW,1854
2006,2.1,BW,1992
2006,2.2,BW,2141
2006,2.3,BW,2175
2006,2.4,BW,2127
2006,2.5,BW,2297
2006,2.6,BW,2317
2006,2.7,BW,2237
2006,2.8,BW,2282
2006,2.9,BW,1919
2006,3,BW,1748
2006,3.1,BW,1678
2006,3.2,BW,1487
2006,3.3,BW,1292
2006,3.4,BW,837
2006,3.5,BW,642
2006,3.6,BW,318
2006,3.7,BW,102
2006,3.8,BW,19
2006,3.9,BW,1
2006,4,BW,0
2006,1,BY,261
2006,1.1,BY,172
2006,1.2,BY,293
2006,1.3,BY,415
2006,1.4,BY,487
2006,1.5,BY,652
2006,1.6,BY,798
2006,1.7,BY,917
2006,1.8,BY,1083
2006,1.9,BY,1248
2006,2,BY,1188
2006,2.1,BY,1414
2006,2.2,BY,1512
2006,2.3,BY,1562
2006,2.4,BY,1610
2006,2.5,BY,1662
2006,2.6,BY,1646
2006,2.7,BY,1611
2006,2.8,BY,1609
2006,2.9,BY,1559
2006,3,BY,1293
2006,3.1,BY,1155
2006,3.2,BY,1014
2006,3.3,BY,819
2006,3.4,BY,632
2006,3.5,BY,440
2006,3.6,BY,263
2006,3.7,BY,96
2006,3.8,BY,18
2006,3.9,BY,2
2006,4,BY,0
2006,1,HB,31
2006,1.1,HB,21
2006,1.2,HB,26
2006,1.3,HB,46
2006,1.4,HB,57
2006,1.5,HB,46
2006,1.6,HB,64
2006,1.7,HB,86
2006,1.8,HB,104
2006,1.9,HB,90
2006,2,HB,104
2006,2.1,HB,111
2006,2.2,HB,116
2006,2.3,HB,113
2006,2.4,HB,115
2006,2.5,HB,113
2006,2.6,HB,140
2006,2.7,HB,140
2006,2.8,HB,119
2006,2.9,HB,124
2006,3,HB,126
2006,3.1,HB,120
2006,3.2,HB,124
2006,3.3,HB,128
2006,3.4,HB,98
2006,3.5,HB,61
2006,3.6,HB,46
2006,3.7,HB,15
2006,3.8,HB,3
2006,3.9,HB,0
2006,4,HB,0
2006,1,HE,183
2006,1.1,HE,166
2006,1.2,HE,212
2006,1.3,HE,299
2006,1.4,HE,342
2006,1.5,HE,399
2006,1.6,HE,463
2006,1.7,HE,607
2006,1.8,HE,690
2006,1.9,HE,680
2006,2,HE,785
2006,2.1,HE,908
2006,2.2,HE,978
2006,2.3,HE,1053
2006,2.4,HE,999
2006,2.5,HE,1160
2006,2.6,HE,1077
2006,2.7,HE,1190
2006,2.8,HE,1210
2006,2.9,HE,1085
2006,3,HE,1093
2006,3.1,HE,1009
2006,3.2,HE,878
2006,3.3,HE,742
2006,3.4,HE,534
2006,3.5,HE,400
2006,3.6,HE,230
2006,3.7,HE,81
2006,3.8,HE,21
2006,3.9,HE,6
2006,4,HE,6
2006,1,HH,62
2006,1.1,HH,36
2006,1.2,HH,59
2006,1.3,HH,63
2006,1.4,HH,101
2006,1.5,HH,117
2006,1.6,HH,139
2006,1.7,HH,134
2006,1.8,HH,171
2006,1.9,HH,190
2006,2,HH,218
2006,2.1,HH,221
2006,2.2,HH,287
2006,2.3,HH,311
2006,2.4,HH,269
2006,2.5,HH,311
2006,2.6,HH,328
2006,2.7,HH,339
2006,2.8,HH,370
2006,2.9,HH,339
2006,3,HH,341
2006,3.1,HH,363
2006,3.2,HH,337
2006,3.3,HH,313
2006,3.4,HH,234
2006,3.5,HH,156
2006,3.6,HH,113
2006,3.7,HH,40
2006,3.8,HH,5
2006,3.9,HH,1
2006,4,HH,0
2006,1,MV,79
2006,1.1,MV,45
2006,1.2,MV,90
2006,1.3,MV,124
2006,1.4,MV,129
2006,1.5,MV,149
2006,1.6,MV,230
2006,1.7,MV,231
2006,1.8,MV,253
2006,1.9,MV,266
2006,2,MV,301
2006,2.1,MV,324
2006,2.2,MV,358
2006,2.3,MV,406
2006,2.4,MV,371
2006,2.5,MV,403
2006,2.6,MV,362
2006,2.7,MV,415
2006,2.8,MV,363
2006,2.9,MV,339
2006,3,MV,333
2006,3.1,MV,321
2006,3.2,MV,269
2006,3.3,MV,197
2006,3.4,MV,136
2006,3.5,MV,82
2006,3.6,MV,34
2006,3.7,MV,8
2006,3.8,MV,1
2006,3.9,MV,1
2006,4,MV,0
2006,1,NI,117
2006,1.1,NI,89
2006,1.2,NI,126
2006,1.3,NI,181
2006,1.4,NI,209
2006,1.5,NI,333
2006,1.6,NI,373
2006,1.7,NI,484
2006,1.8,NI,562
2006,1.9,NI,614
2006,2,NI,730
2006,2.1,NI,773
2006,2.2,NI,910
2006,2.3,NI,1001
2006,2.4,NI,1083
2006,2.5,NI,1196
2006,2.6,NI,1291
2006,2.7,NI,1333
2006,2.8,NI,1437
2006,2.9,NI,1488
2006,3,NI,1496
2006,3.1,NI,1594
2006,3.2,NI,1534
2006,3.3,NI,1451
2006,3.4,NI,1210
2006,3.5,NI,1140
2006,3.6,NI,704
2006,3.7,NI,381
2006,3.8,NI,98
2006,3.9,NI,9
2006,4,NI,0
2006,1,NW,421
2006,1.1,NW,321
2006,1.2,NW,431
2006,1.3,NW,671
2006,1.4,NW,735
2006,1.5,NW,905
2006,1.6,NW,1129
2006,1.7,NW,1281
2006,1.8,NW,1507
2006,1.9,NW,1704
2006,2,NW,1900
2006,2.1,NW,1992
2006,2.2,NW,2176
2006,2.3,NW,2370
2006,2.4,NW,2419
2006,2.5,NW,2802
2006,2.6,NW,2841
2006,2.7,NW,3107
2006,2.8,NW,3298
2006,2.9,NW,3246
2006,3,NW,3297
2006,3.1,NW,3331
2006,3.2,NW,3295
2006,3.3,NW,3237
2006,3.4,NW,2735
2006,3.5,NW,2520
2006,3.6,NW,1752
2006,3.7,NW,928
2006,3.8,NW,293
2006,3.9,NW,31
2006,4,NW,6
2006,1,RP,78
2006,1.1,RP,63
2006,1.2,RP,89
2006,1.3,RP,133
2006,1.4,RP,156
2006,1.5,RP,207
2006,1.6,RP,248
2006,1.7,RP,321
2006,1.8,RP,344
2006,1.9,RP,373
2006,2,RP,498
2006,2.1,RP,456
2006,2.2,RP,560
2006,2.3,RP,582
2006,2.4,RP,591
2006,2.5,RP,721
2006,2.6,RP,669
2006,2.7,RP,746
2006,2.8,RP,779
2006,2.9,RP,830
2006,3,RP,785
2006,3.1,RP,801
2006,3.2,RP,786
2006,3.3,RP,687
2006,3.4,RP,580
2006,3.5,RP,492
2006,3.6,RP,294
2006,3.7,RP,131
2006,3.8,RP,37
2006,3.9,RP,4
2006,4,RP,9
2006,1,SH,36
2006,1.1,SH,24
2006,1.2,SH,52
2006,1.3,SH,59
2006,1.4,SH,106
2006,1.5,SH,134
2006,1.6,SH,169
2006,1.7,SH,208
2006,1.8,SH,208
2006,1.9,SH,257
2006,2,SH,305
2006,2.1,SH,323
2006,2.2,SH,370
2006,2.3,SH,410
2006,2.4,SH,436
2006,2.5,SH,485
2006,2.6,SH,516
2006,2.7,SH,556
2006,2.8,SH,532
2006,2.9,SH,539
2006,3,SH,522
2006,3.1,SH,569
2006,3.2,SH,494
2006,3.3,SH,463
2006,3.4,SH,359
2006,3.5,SH,293
2006,3.6,SH,164
2006,3.7,SH,75
2006,3.8,SH,16
2006,3.9,SH,2
2006,4,SH,0
2006,1,SL,43
2006,1.1,SL,39
2006,1.2,SL,26
2006,1.3,SL,34
2006,1.4,SL,34
2006,1.5,SL,57
2006,1.6,SL,72
2006,1.7,SL,73
2006,1.8,SL,81
2006,1.9,SL,116
2006,2,SL,115
2006,2.1,SL,127
2006,2.2,SL,146
2006,2.3,SL,158
2006,2.4,SL,171
2006,2.5,SL,173
2006,2.6,SL,161
2006,2.7,SL,177
2006,2.8,SL,181
2006,2.9,SL,131
2006,3,SL,167
2006,3.1,SL,158
2006,3.2,SL,153
2006,3.3,SL,145
2006,3.4,SL,79
2006,3.5,SL,62
2006,3.6,SL,42
2006,3.7,SL,15
2006,3.8,SL,2
2006,3.9,SL,1
2006,4,SL,0
2006,1,SN,132
2006,1.1,SN,115
2006,1.2,SN,159
2006,1.3,SN,215
2006,1.4,SN,276
2006,1.5,SN,372
2006,1.6,SN,392
2006,1.7,SN,502
2006,1.8,SN,621
